latitude, longitude
38.32168,-122.34481
38.4266242980957,-122.352890014648
38.2547,-122.35697
38.5010223388672,-122.46314239502
38.3046,-122.28697
38.4510319679976,-122.374023422599
38.48901,-122.44811
38.405934,-122.366241
38.478891,-122.393855
38.4102395921946,-122.543621510267
38.2691599380148,-122.355366903427
38.4727332935577,-122.401190539612
38.4554826,-122.4180526
38.3648,-122.28942
38.2915015,-122.45839
38.4727340569224,-122.406921386719
38.3983978,-122.3243927
38.305044,-122.28614
38.400497,-122.360031
38.4014691,-122.3609334
38.4365573,-122.3518423
38.3555817630865,-122.270102462921
38.38487,-122.52468
38.4054145812988,-122.366424560547
38.3106956481934,-122.464462280273
38.24996,-122.32538
38.2140168170748,-122.457671481384
38.4486206620932,-122.413306385279
38.2890722,-122.2273244
38.3458142305308,-122.494017806885
38.496165,-122.419868
38.3421177,-122.2822906
38.4846353813725,-122.355079650879
38.46275,-122.44415
38.4003105163574,-122.359199523926
38.30074,-122.44204
38.5974273681641,-122.589378356934
38.27853,-122.42058
38.41726,-122.5498
38.4011459350586,-122.359878540039
38.4004,-122.36945
38.3426659738006,-122.47730255127
38.4404422,-122.3809788
38.2915583,-122.4574775
38.447904,-122.409682
38.36012,-122.50367
38.419881,-122.326894
38.4733,-122.39389
38.507235,-122.4309231
38.441422,-122.409546
